"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
24,"1","2025-01-25T20:52:13.776072Z",460,"[{""start"":0,""end"":7,""text"":""Dholera"",""labels"":[""PROPN""]},{""start"":12,""end"":16,""text"":""भारत"",""labels"":[""PROPN""]},{""start"":8,""end"":11,""text"":""SIR"",""labels"":[""NOUN""]},{""start"":17,""end"":19,""text"":""ही"",""labels"":[""PART""]},{""start"":99,""end"":103,""text"":"" है।"",""labels"":[""X""]},{""start"":90,""end"":94,""text"":""होने"",""labels"":[""PART""]},{""start"":95,""end"":99,""text"":""वाला"",""labels"":[""VERB""]},{""start"":74,""end"":89,""text"":""औद्योगिक केंद्र"",""labels"":[""NOUN""]},{""start"":57,""end"":61,""text"":""वाला"",""labels"":[""VERB""]},{""start"":52,""end"":56,""text"":""होने"",""labels"":[""PART""]},{""start"":62,""end"":64,""text"":""ये"",""labels"":[""PRON""]},{""start"":65,""end"":69,""text"":""सबसे"",""labels"":[""ADJ""]},{""start"":70,""end"":73,""text"":""बड़ा"",""labels"":[""ADJ""]},{""start"":25,""end"":31,""text"":""विश्‍व"",""labels"":[""NOUN""]},{""start"":20,""end"":24,""text"":""नहीं"",""labels"":[""PART_NEG""]},{""start"":45,""end"":51,""text"":""विकसित"",""labels"":[""ADJ""]},{""start"":42,""end"":44,""text"":""पर"",""labels"":[""PART""]},{""start"":32,""end"":34,""text"":""के"",""labels"":[""PART""]},{""start"":35,""end"":41,""text"":""नक्‍शे"",""labels"":[""NOUN""]}]",671.233,"Dholera SIR भारत ही नहीं विश्‍व के नक्‍शे पर विकसित होने वाला ये सबसे बड़ा औद्योगिक केंद्र होने वाला है।","2025-01-25T20:52:13.776072Z"

25,"1","2025-01-25T20:55:25.950104Z",461,"[{""start"":20,""end"":29,""text"":""Highways"",""labels"":[""PROPN""]},{""start"":31,""end"":39,""text"":""Railways"",""labels"":[""PROPN""]},{""start"":41,""end"":50,""text"":""Waterways"",""labels"":[""PROPN""]},{""start"":53,""end"":61,""text"":""Airways"",""labels"":[""PROPN""]},{""start"":51,""end"":53,""text"":""और"",""labels"":[""CONJ""]},{""start"":82,""end"":85,""text"":""गया"",""labels"":[""PART""]},{""start"":86,""end"":89,""text"":""है।"",""labels"":[""PART""]},{""start"":77,""end"":81,""text"":""किया"",""labels"":[""VERB""]},{""start"":0,""end"":5,""text"":""पिछले"",""labels"":[""ADJ""]},{""start"":6,""end"":9,""text"":""तीन"",""labels"":[""NUM""]},{""start"":10,""end"":16,""text"":""वर्षों"",""labels"":[""NOUN""]},{""start"":17,""end"":20,""text"":""में"",""labels"":[""ADP""]},{""start"":62,""end"":64,""text"":""पर"",""labels"":[""ADP""]},{""start"":65,""end"":70,""text"":""जितना"",""labels"":[""ADJ""]},{""start"":71,""end"":76,""text"":""निवेश"",""labels"":[""NOUN""]}]",186.745,"पिछले तीन वर्षों में Highways, Railways, Waterways और Airways पर जितना निवेश किया गया है।","2025-01-25T20:55:25.950104Z"

26,"1","2025-01-25T20:58:42.895763Z",462,"[{""start"":0,""end"":2,""text"":""एक"",""labels"":[""DET""]},{""start"":3,""end"":6,""text"":""ऐसा"",""labels"":[""ADJ""]},{""start"":7,""end"":16,""text"":""transport"",""labels"":[""NOUN""]},{""start"":17,""end"":23,""text"":""system"",""labels"":[""NOUN""]},{""start"":23,""end"":26,""text"":"" जो"",""labels"":[""PRON""]},{""start"":27,""end"":30,""text"":""New"",""labels"":[""ADJ""]},{""start"":31,""end"":36,""text"":""India"",""labels"":[""PROPN""]},{""start"":37,""end"":39,""text"":""की"",""labels"":[""ADP""]},{""start"":79,""end"":87,""text"":""मुताबिक।"",""labels"":[""ADJ""]},{""start"":75,""end"":78,""text"":"" के"",""labels"":[""ADP""]},{""start"":63,""end"":65,""text"":""की"",""labels"":[""ADP""]},{""start"":50,""end"":52,""text"":""हो"",""labels"":[""VERB""]},{""start"":57,""end"":62,""text"":""India"",""labels"":[""NOUN""]},{""start"":66,""end"":75,""text"":""उम्‍मीदों"",""labels"":[""NOUN""]},{""start"":40,""end"":49,""text"":""आवश्‍यकता"",""labels"":[""NOUN""]},{""start"":53,""end"":56,""text"":""New"",""labels"":[""ADJ""]}]",184.254,"एक ऐसा transport system जो New India की आवश्‍यकता हो New India की उम्‍मीदों के मुताबिक।","2025-01-25T20:58:42.895763Z"

27,"1","2025-01-25T21:02:05.450163Z",463,"[{""start"":0,""end"":6,""text"":""हिमाचल"",""labels"":[""PROPN""]},{""start"":7,""end"":13,""text"":""प्रदेश"",""labels"":[""PROPN""]},{""start"":14,""end"":16,""text"":""के"",""labels"":[""ADP""]},{""start"":17,""end"":23,""text"":""निवासी"",""labels"":[""NOUN""]},{""start"":24,""end"":29,""text"":""अंशुल"",""labels"":[""PROPN""]},{""start"":29,""end"":35,""text"":"" शर्मा"",""labels"":[""PROPN""]},{""start"":36,""end"":38,""text"":""ने"",""labels"":[""ADJ""]},{""start"":39,""end"":44,""text"":""MyGov"",""labels"":[""PROPN""]},{""start"":45,""end"":47,""text"":""पर"",""labels"":[""ADP""]},{""start"":48,""end"":52,""text"":""लिखा"",""labels"":[""VERB""]},{""start"":52,""end"":55,""text"":"" है"",""labels"":[""X""]},{""start"":56,""end"":58,""text"":""कि"",""labels"":[""CONJ""]},{""start"":59,""end"":63,""text"":""मुझे"",""labels"":[""PRON""]},{""start"":64,""end"":73,""text"":""परीक्षाओं"",""labels"":[""NOUN""]},{""start"":73,""end"":76,""text"":"" और"",""labels"":[""CONJ""]},{""start"":77,""end"":81,""text"":""Exam"",""labels"":[""PROPN""]},{""start"":82,""end"":90,""text"":""Warriors"",""labels"":[""PROPN""]},{""start"":91,""end"":93,""text"":""के"",""labels"":[""CONJ""]},{""start"":94,""end"":102,""text"":"" बारे"",""labels"":[""NOUN""]},{""start"":103,""end"":106,""text"":"" में"",""labels"":[""ADP""]},{""start"":107,""end"":109,""text"":""बात"",""labels"":[""NOUN""]},{""start"":110,""end"":113,""text"":"" करनी"",""labels"":[""VERB""]},{""start"":114,""end"":117,""text"":"" चाहिए"",""labels"":[""VERB""]}]",175.862,"हिमाचल प्रदेश के निवासी अंशुल शर्मा ने MyGov पर लिखा है कि मुझे परीक्षाओं और Exam Warriors के बारे में बात करनी चाहिए।","2025-01-25T21:02:05.450163Z"

28,"1","2025-01-25T21:04:51.058431Z",464,"[{""start"":0,""end"":2,""text"":""इस"",""labels"":[""PRON""]},{""start"":2,""end"":7,""text"":"" वजह "",""labels"":[""NOUN""]},{""start"":7,""end"":9,""text"":""से"",""labels"":[""ADP""]},{""start"":10,""end"":14,""text"":""NCLT"",""labels"":[""PROPN""]},{""start"":15,""end"":23,""text"":""National"",""labels"":[""PROPN""]},{""start"":24,""end"":31,""text"":""Company"",""labels"":[""PROPN""]},{""start"":32,""end"":35,""text"":""Law"",""labels"":[""PROPN""]},{""start"":36,""end"":44,""text"":""Tribunal"",""labels"":[""PROPN""]},{""start"":45,""end"":47,""text"":""के"",""labels"":[""ADP""]},{""start"":48,""end"":50,""text"":""कई"",""labels"":[""DET""]},{""start"":51,""end"":53,""text"":""के"",""labels"":[""CONJ""]},{""start"":54,""end"":57,""text"":""सभी"",""labels"":[""DET""]},{""start"":58,""end"":74,""text"":""रीजनलडायरेक्टर्स"",""labels"":[""PROPN""]},{""start"":75,""end"":77,""text"":""के"",""labels"":[""CONJ""]},{""start"":78,""end"":84,""text"":""अधिकार"",""labels"":[""NOUN""]},{""start"":85,""end"":88,""text"":""में"",""labels"":[""ADP""]},{""start"":88,""end"":97,""text"":""चलेजायें "",""labels"":[""VERB""]},{""start"":97,""end"":100,""text"":""गे।"",""labels"":[""X""]}]",163.498,"इस वजह से NCLT-National Company Law Tribunal के कई के सभी रीजनलडायरेक्टर्स के अधिकार मेंचलेजायें गे।","2025-01-25T21:04:51.058431Z"

29,"1","2025-01-25T21:07:51.110869Z",465,"[{""start"":0,""end"":4,""text"":""HIRA"",""labels"":[""PROPN""]},{""start"":5,""end"":9,""text"":""यानि"",""labels"":[""PART""]},{""start"":10,""end"":18,""text"":""Highways"",""labels"":[""PROPN""]},{""start"":20,""end"":26,""text"":""I-ways"",""labels"":[""PROPN""]},{""start"":27,""end"":36,""text"":"" Railways"",""labels"":[""PROPN""]},{""start"":39,""end"":47,""text"":"" Airways"",""labels"":[""PROPN""]},{""start"":49,""end"":57,""text"":""त्रिपुरा"",""labels"":[""PROPN""]},{""start"":75,""end"":91,""text"":"" इंफ्रास्ट्रक्चर"",""labels"":[""PROPN""]},{""start"":129,""end"":132,""text"":""है।"",""labels"":[""X""]},{""start"":36,""end"":39,""text"":"" और"",""labels"":[""CONJ""]},{""start"":119,""end"":124,""text"":""सुधार"",""labels"":[""NOUN""]},{""start"":125,""end"":128,""text"":""हुआ"",""labels"":[""VERB""]},{""start"":116,""end"":118,""text"":""से"",""labels"":[""ADV""]},{""start"":111,""end"":115,""text"":""तेजी"",""labels"":[""ADJ""]},{""start"":107,""end"":110,""text"":""में"",""labels"":[""ADP""]},{""start"":103,""end"":107,""text"":""साल "",""labels"":[""NOUN""]},{""start"":100,""end"":103,""text"":"" 3 "",""labels"":[""NUM""]},{""start"":58,""end"":60,""text"":""की"",""labels"":[""CONJ""]},{""start"":73,""end"":75,""text"":""के"",""labels"":[""CONJ""]},{""start"":61,""end"":73,""text"":""कनेक्टिविटी "",""labels"":[""NOUN""]},{""start"":92,""end"":95,""text"":""में"",""labels"":[""ADP""]},{""start"":95,""end"":100,""text"":"" बीते"",""labels"":[""PART""]}]",177.793,"HIRA यानि Highways, I-ways, Railways और Airways. त्रिपुरा की कनेक्टिविटी के इंफ्रास्ट्रक्चर में बीते 3 साल में तेजी से सुधार हुआ है।","2025-01-25T21:07:51.110869Z"

30,"1","2025-01-25T21:12:11.751276Z",466,"[{""start"":0,""end"":6,""text"":""दक्षिण"",""labels"":[""ADJ""]},{""start"":7,""end"":15,""text"":""त्रिपुरा"",""labels"":[""PROPN""]},{""start"":94,""end"":96,""text"":""आज"",""labels"":[""NOUN""]},{""start"":97,""end"":99,""text"":""से"",""labels"":[""ADV""]},{""start"":100,""end"":105,""text"":""शुरु "",""labels"":[""ADV""]},{""start"":105,""end"":107,""text"":""हो"",""labels"":[""VERB""]},{""start"":108,""end"":111,""text"":""गया"",""labels"":[""X""]},{""start"":112,""end"":115,""text"":""है।"",""labels"":[""X""]},{""start"":68,""end"":74,""text"":"" Check"",""labels"":[""PROPN""]},{""start"":75,""end"":79,""text"":""Post"",""labels"":[""PROPN""]},{""start"":58,""end"":68,""text"":""Integrated"",""labels"":[""ADJ""]},{""start"":80,""end"":82,""text"":""का"",""labels"":[""CONJ""]},{""start"":16,""end"":18,""text"":""के"",""labels"":[""CONJ""]},{""start"":83,""end"":90,""text"":""निर्माण"",""labels"":[""NOUN""]},{""start"":91,""end"":93,""text"":""भी"",""labels"":[""PART""]},{""start"":55,""end"":57,""text"":""ही"",""labels"":[""PART""]},{""start"":51,""end"":54,""text"":""में"",""labels"":[""ADP""]},{""start"":37,""end"":41,""text"":"" हुए"",""labels"":[""X""]},{""start"":19,""end"":22,""text"":""इसी"",""labels"":[""DET""]},{""start"":23,""end"":28,""text"":""महत्व"",""labels"":[""NOUN""]},{""start"":32,""end"":35,""text"":""देख"",""labels"":[""VERB""]},{""start"":29,""end"":31,""text"":""को"",""labels"":[""CONJ""]},{""start"":42,""end"":44,""text"":""अब"",""labels"":[""ADJ""]},{""start"":45,""end"":50,""text"":""सबरूम"",""labels"":[""ADJ""]}]",258.097,"दक्षिण त्रिपुरा के इसी महत्व को देखते हुए अब सबरूम में ही Integrated Check Post का निर्माण भी आज से शुरु हो गया है।","2025-01-25T21:12:11.751276Z"

31,"1","2025-01-25T21:14:56.242774Z",467,"[{""start"":0,""end"":2,""text"":""और"",""labels"":[""CONJ""]},{""start"":2,""end"":6,""text"":"" यही"",""labels"":[""PROPN""]},{""start"":7,""end"":10,""text"":""वजह"",""labels"":[""NOUN""]},{""start"":10,""end"":13,""text"":"" है"",""labels"":[""X""]},{""start"":13,""end"":16,""text"":"" कि"",""labels"":[""CONJ""]},{""start"":111,""end"":114,""text"":""था।"",""labels"":[""X""]},{""start"":107,""end"":110,""text"":""आगे"",""labels"":[""X""]},{""start"":104,""end"":106,""text"":""से"",""labels"":[""PART""]},{""start"":87,""end"":91,""text"":"" देश"",""labels"":[""NOUN""]},{""start"":98,""end"":103,""text"":""राज्य"",""labels"":[""NOUN""]},{""start"":27,""end"":37,""text"":""महाराष्ट्र"",""labels"":[""PROPN""]},{""start"":38,""end"":52,""text"":""Infrastructure"",""labels"":[""PROPN""]},{""start"":53,""end"":61,""text"":""Projects"",""labels"":[""PROPN""]},{""start"":62,""end"":65,""text"":""में"",""labels"":[""ADP""]},{""start"":66,""end"":71,""text"":""Total"",""labels"":[""DET""]},{""start"":72,""end"":83,""text"":""Expenditure"",""labels"":[""NOUN""]},{""start"":84,""end"":87,""text"":""में"",""labels"":[""ADP""]},{""start"":92,""end"":94,""text"":""के"",""labels"":[""CONJ""]},{""start"":95,""end"":97,""text"":""हर"",""labels"":[""ADJ""]},{""start"":17,""end"":22,""text"":""पिछले"",""labels"":[""ADJ""]},{""start"":23,""end"":26,""text"":""साल"",""labels"":[""NOUN""]}]",162.642,"और यही वजह है कि पिछले साल महाराष्ट्र Infrastructure Projects में Total Expenditure में देश के हर राज्य से आगे था।","2025-01-25T21:14:56.242774Z"

32,"1","2025-01-25T21:18:32.113417Z",468,"[{""start"":0,""end"":2,""text"":""ये"",""labels"":[""PRON""]},{""start"":2,""end"":12,""text"":"" प्रोजेक्ट"",""labels"":[""NOUN""]},{""start"":13,""end"":24,""text"":""महाराष्ट्र "",""labels"":[""PROPN""]},{""start"":24,""end"":26,""text"":""के"",""labels"":[""CONJ""]},{""start"":50,""end"":53,""text"":"" के"",""labels"":[""CONJ""]},{""start"":46,""end"":50,""text"":""यहां"",""labels"":[""PRON""]},{""start"":42,""end"":44,""text"":""को"",""labels"":[""CONJ""]},{""start"":27,""end"":34,""text"":""ग्रामीण"",""labels"":[""ADJ""]},{""start"":35,""end"":41,""text"":""इलाकों"",""labels"":[""NOUN""]},{""start"":143,""end"":146,""text"":""है।"",""labels"":[""X""]},{""start"":138,""end"":142,""text"":""रखता"",""labels"":[""VERB""]},{""start"":130,""end"":137,""text"":"" क्षमता"",""labels"":[""ADJ""]},{""start"":128,""end"":130,""text"":""की"",""labels"":[""CONJ""]},{""start"":105,""end"":107,""text"":""की"",""labels"":[""CONJ""]},{""start"":111,""end"":116,""text"":""ऊँचाई"",""labels"":[""NOUN""]},{""start"":117,""end"":119,""text"":""पर"",""labels"":[""ADP""]},{""start"":120,""end"":122,""text"":""ले"",""labels"":[""PART""]},{""start"":96,""end"":98,""text"":""को"",""labels"":[""CONJ""]},{""start"":99,""end"":104,""text"":""विकास"",""labels"":[""NOUN""]},{""start"":108,""end"":110,""text"":""नई"",""labels"":[""ADJ""]},{""start"":123,""end"":128,""text"":""जाने "",""labels"":[""PART""]},{""start"":54,""end"":65,""text"":""Agriculture"",""labels"":[""PROPN""]},{""start"":66,""end"":72,""text"":""Sector"",""labels"":[""PROPN""]},{""start"":73,""end"":78,""text"":"" Agro"",""labels"":[""PROPN""]},{""start"":78,""end"":85,""text"":""-Based "",""labels"":[""PROPN""]},{""start"":85,""end"":95,""text"":""Industries"",""labels"":[""PROPN""]}]",208.095,"ये प्रोजेक्ट महाराष्ट्र के ग्रामीण इलाकों को, यहां के Agriculture Sector, Agro-Based Industries को विकास की नई ऊँचाई पर ले जाने की क्षमता रखता है।","2025-01-25T21:18:32.113417Z"

